SN,FrameNo,Title of Song,Type,Language,Sentiment,Lyrics,Genre
217,Frame_217_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
218,Frame_218_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
219,Frame_219_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
220,Frame_220_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
221,Frame_221_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
222,Frame_222_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
223,Frame_223_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
224,Frame_224_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
225,Frame_225_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
226,Frame_226_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
227,Frame_227_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
228,Frame_228_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
229,Frame_229_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
230,Frame_230_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
231,Frame_231_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
232,Frame_232_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
233,Frame_233_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
234,Frame_234_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
235,Frame_235_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
236,Frame_236_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
237,Frame_237_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
238,Frame_238_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
239,Frame_239_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
240,Frame_240_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
241,Frame_241_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
242,Frame_242_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
243,Frame_243_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
244,Frame_244_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
245,Frame_245_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
246,Frame_246_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
247,Frame_247_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
248,Frame_248_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
249,Frame_249_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
250,Frame_250_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
251,Frame_251_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
252,Frame_252_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
253,Frame_253_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
254,Frame_254_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
255,Frame_255_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
256,Frame_256_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
257,Frame_257_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
258,Frame_258_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
259,Frame_259_Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.jpg,A. B. Crentsil - I Go Pay You Tomorrow,JPG,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife
